,query_number,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:,runtime
0,q_02,3,2,+UseParallelGC,34.645
1,q_05,2,2,+UseParallelGC,40.037
2,q_01,2,4,+UseParallelGC,32.400999999999996
3,q_05,4,4,+UseParallelGC,40.747
4,q_02,3,4,+UseG1GC,34.123000000000005
5,q_02,3,3,+UseG1GC,33.504
6,q_01,2,2,+UseG1GC,32.806
7,q_01,2,4,+UseG1GC,32.397
8,q_06,4,3,+UseParallelGC,47.553999999999995
9,q_01,3,4,+UseParallelGC,32.853
10,q_03,3,2,+UseParallelGC,17.847
11,q_06,3,2,+UseG1GC,48.718
12,q_05,4,3,+UseParallelGC,41.056000000000004
13,q_01,3,3,+UseParallelGC,32.422
14,q_03,4,4,+UseG1GC,18.048
15,q_02,3,4,+UseParallelGC,33.952
16,q_04,4,3,+UseG1GC,94.571
17,q_06,3,2,+UseParallelGC,49.153
18,q_05,3,2,+UseG1GC,41.99100000000001
19,q_03,3,4,+UseG1GC,18.524
20,q_02,4,4,+UseParallelGC,34.93
21,q_05,2,2,+UseG1GC,40.575
22,q_05,2,3,+UseParallelGC,40.948
23,q_01,2,3,+UseG1GC,31.99
24,q_03,4,2,+UseG1GC,20.74
25,q_06,3,3,+UseG1GC,48.037
26,q_03,3,3,+UseParallelGC,17.987000000000002
27,q_04,2,4,+UseParallelGC,90.965
28,q_02,2,4,+UseParallelGC,33.719
29,q_04,3,3,+UseG1GC,90.35799999999999
30,q_02,3,3,+UseParallelGC,33.715
31,q_02,4,4,+UseG1GC,32.484
32,q_04,4,4,+UseG1GC,92.57
33,q_05,2,4,+UseParallelGC,41.077
34,q_01,3,4,+UseG1GC,33.973
35,q_06,4,4,+UseParallelGC,46.928000000000004
36,q_03,2,4,+UseG1GC,18.68
37,q_06,2,2,+UseParallelGC,47.156000000000006
38,q_02,3,2,+UseG1GC,34.335
39,q_04,2,3,+UseG1GC,90.456
40,q_04,4,3,+UseParallelGC,93.31299999999999
41,q_01,4,3,+UseG1GC,34.052
42,q_02,4,2,+UseParallelGC,34.524
43,q_02,4,3,+UseG1GC,35.951
44,q_03,3,3,+UseG1GC,18.457
45,q_01,3,2,+UseParallelGC,34.199
46,q_02,4,2,+UseG1GC,34.418
47,q_04,3,4,+UseParallelGC,94.213
48,q_03,4,2,+UseParallelGC,19.148
49,q_06,2,4,+UseG1GC,49.471000000000004
50,q_04,3,4,+UseG1GC,93.82600000000001
51,q_06,3,4,+UseG1GC,48.917
52,q_05,2,4,+UseG1GC,40.743
53,q_04,3,3,+UseParallelGC,92.46799999999999
54,q_06,2,2,+UseG1GC,49.926
55,q_04,4,4,+UseParallelGC,91.565
56,q_03,2,3,+UseG1GC,18.544
57,q_05,4,2,+UseG1GC,43.199
58,q_05,3,2,+UseParallelGC,44.538000000000004
59,q_03,2,2,+UseG1GC,18.489
60,q_04,3,2,+UseG1GC,93.02799999999999
61,q_06,4,3,+UseG1GC,48.669
62,q_05,3,4,+UseG1GC,41.638000000000005
63,q_01,3,3,+UseG1GC,33.141
64,q_04,2,2,+UseParallelGC,89.829
65,q_04,4,2,+UseParallelGC,96.88
66,q_06,2,3,+UseG1GC,47.03
67,q_03,2,3,+UseParallelGC,20.236
68,q_02,2,3,+UseParallelGC,34.883
69,q_06,3,3,+UseParallelGC,47.902
70,q_01,4,2,+UseG1GC,33.138000000000005
71,q_05,2,3,+UseG1GC,40.519
72,q_04,2,2,+UseG1GC,92.398
73,q_03,4,3,+UseParallelGC,18.980999999999998
74,q_01,2,2,+UseParallelGC,32.975
75,q_06,4,2,+UseParallelGC,48.906000000000006
76,q_06,2,4,+UseParallelGC,46.434
77,q_01,4,4,+UseG1GC,32.283
78,q_03,4,4,+UseParallelGC,18.255
79,q_03,2,4,+UseParallelGC,18.137999999999998
80,q_03,4,3,+UseG1GC,19.278
81,q_04,4,2,+UseG1GC,96.147
82,q_04,2,3,+UseParallelGC,91.59899999999999
83,q_02,2,4,+UseG1GC,32.84
84,q_06,3,4,+UseParallelGC,47.368
85,q_05,3,3,+UseParallelGC,42.537
86,q_01,4,3,+UseParallelGC,33.616
87,q_03,3,2,+UseG1GC,18.509
88,q_05,4,4,+UseG1GC,41.724
89,q_05,3,3,+UseG1GC,40.872
90,q_05,4,2,+UseParallelGC,41.794
91,q_01,2,3,+UseParallelGC,33.434
92,q_02,4,3,+UseParallelGC,34.872
93,q_04,2,4,+UseG1GC,89.516
94,q_06,4,4,+UseG1GC,47.26
95,q_02,2,2,+UseParallelGC,33.88
96,q_05,3,4,+UseParallelGC,41.983999999999995
97,q_06,2,3,+UseParallelGC,46.275
98,q_04,3,2,+UseParallelGC,96.552
99,q_02,2,3,+UseG1GC,33.288000000000004
100,q_03,2,2,+UseParallelGC,17.936
101,q_01,3,2,+UseG1GC,32.7
102,q_02,2,2,+UseG1GC,35.827
103,q_06,4,2,+UseG1GC,49.385
104,q_03,3,4,+UseParallelGC,20.256
105,q_01,4,2,+UseParallelGC,32.653
106,q_01,4,4,+UseParallelGC,32.89
107,q_05,4,3,+UseG1GC,42.87
