,query_number_q_01,query_number_q_02,query_number_q_03,query_number_q_04,query_number_q_05,query_number_q_06,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
0,0,1,0,0,0,0,3,2,0,1
1,0,0,0,0,1,0,2,2,0,1
2,1,0,0,0,0,0,2,4,0,1
3,0,0,0,0,1,0,4,4,0,1
4,0,1,0,0,0,0,3,4,1,0
5,0,1,0,0,0,0,3,3,1,0
6,1,0,0,0,0,0,2,2,1,0
7,1,0,0,0,0,0,2,4,1,0
8,0,0,0,0,0,1,4,3,0,1
9,1,0,0,0,0,0,3,4,0,1
10,0,0,1,0,0,0,3,2,0,1
11,0,0,0,0,0,1,3,2,1,0
12,0,0,0,0,1,0,4,3,0,1
13,1,0,0,0,0,0,3,3,0,1
14,0,0,1,0,0,0,4,4,1,0
15,0,1,0,0,0,0,3,4,0,1
16,0,0,0,1,0,0,4,3,1,0
17,0,0,0,0,0,1,3,2,0,1
18,0,0,0,0,1,0,3,2,1,0
19,0,0,1,0,0,0,3,4,1,0
20,0,1,0,0,0,0,4,4,0,1
21,0,0,0,0,1,0,2,2,1,0
22,0,0,0,0,1,0,2,3,0,1
23,1,0,0,0,0,0,2,3,1,0
24,0,0,1,0,0,0,4,2,1,0
25,0,0,0,0,0,1,3,3,1,0
26,0,0,1,0,0,0,3,3,0,1
27,0,0,0,1,0,0,2,4,0,1
28,0,1,0,0,0,0,2,4,0,1
29,0,0,0,1,0,0,3,3,1,0
30,0,1,0,0,0,0,3,3,0,1
31,0,1,0,0,0,0,4,4,1,0
32,0,0,0,1,0,0,4,4,1,0
33,0,0,0,0,1,0,2,4,0,1
34,1,0,0,0,0,0,3,4,1,0
35,0,0,0,0,0,1,4,4,0,1
36,0,0,1,0,0,0,2,4,1,0
37,0,0,0,0,0,1,2,2,0,1
38,0,1,0,0,0,0,3,2,1,0
39,0,0,0,1,0,0,2,3,1,0
40,0,0,0,1,0,0,4,3,0,1
41,1,0,0,0,0,0,4,3,1,0
42,0,1,0,0,0,0,4,2,0,1
43,0,1,0,0,0,0,4,3,1,0
44,0,0,1,0,0,0,3,3,1,0
45,1,0,0,0,0,0,3,2,0,1
46,0,1,0,0,0,0,4,2,1,0
47,0,0,0,1,0,0,3,4,0,1
48,0,0,1,0,0,0,4,2,0,1
49,0,0,0,0,0,1,2,4,1,0
50,0,0,0,1,0,0,3,4,1,0
51,0,0,0,0,0,1,3,4,1,0
52,0,0,0,0,1,0,2,4,1,0
53,0,0,0,1,0,0,3,3,0,1
54,0,0,0,0,0,1,2,2,1,0
55,0,0,0,1,0,0,4,4,0,1
56,0,0,1,0,0,0,2,3,1,0
57,0,0,0,0,1,0,4,2,1,0
58,0,0,0,0,1,0,3,2,0,1
59,0,0,1,0,0,0,2,2,1,0
60,0,0,0,1,0,0,3,2,1,0
61,0,0,0,0,0,1,4,3,1,0
62,0,0,0,0,1,0,3,4,1,0
63,1,0,0,0,0,0,3,3,1,0
64,0,0,0,1,0,0,2,2,0,1
65,0,0,0,1,0,0,4,2,0,1
66,0,0,0,0,0,1,2,3,1,0
67,0,0,1,0,0,0,2,3,0,1
68,0,1,0,0,0,0,2,3,0,1
69,0,0,0,0,0,1,3,3,0,1
70,1,0,0,0,0,0,4,2,1,0
71,0,0,0,0,1,0,2,3,1,0
72,0,0,0,1,0,0,2,2,1,0
73,0,0,1,0,0,0,4,3,0,1
74,1,0,0,0,0,0,2,2,0,1
75,0,0,0,0,0,1,4,2,0,1
76,0,0,0,0,0,1,2,4,0,1
77,1,0,0,0,0,0,4,4,1,0
78,0,0,1,0,0,0,4,4,0,1
79,0,0,1,0,0,0,2,4,0,1
80,0,0,1,0,0,0,4,3,1,0
81,0,0,0,1,0,0,4,2,1,0
82,0,0,0,1,0,0,2,3,0,1
83,0,1,0,0,0,0,2,4,1,0
84,0,0,0,0,0,1,3,4,0,1
85,0,0,0,0,1,0,3,3,0,1
86,1,0,0,0,0,0,4,3,0,1
87,0,0,1,0,0,0,3,2,1,0
88,0,0,0,0,1,0,4,4,1,0
89,0,0,0,0,1,0,3,3,1,0
90,0,0,0,0,1,0,4,2,0,1
91,1,0,0,0,0,0,2,3,0,1
92,0,1,0,0,0,0,4,3,0,1
93,0,0,0,1,0,0,2,4,1,0
94,0,0,0,0,0,1,4,4,1,0
95,0,1,0,0,0,0,2,2,0,1
96,0,0,0,0,1,0,3,4,0,1
97,0,0,0,0,0,1,2,3,0,1
98,0,0,0,1,0,0,3,2,0,1
99,0,1,0,0,0,0,2,3,1,0
100,0,0,1,0,0,0,2,2,0,1
101,1,0,0,0,0,0,3,2,1,0
102,0,1,0,0,0,0,2,2,1,0
103,0,0,0,0,0,1,4,2,1,0
104,0,0,1,0,0,0,3,4,0,1
105,1,0,0,0,0,0,4,2,0,1
106,1,0,0,0,0,0,4,4,0,1
107,0,0,0,0,1,0,4,3,1,0
